phi, e_xx, e_yy, e_zz, e_yz, e_xz, e_xy
40, -0.002565754498164701, 0.0070947270302333795, -0.0038446343892527698, 0.0, 0.0, 0.0018635309438850985
41, -0.002690234267716941, 0.007275083511822238, -0.003910636987709087, 0.0, 0.0, 0.0017462859562598302
42, -0.002812223748389992, 0.007451553115037723, -0.003975448368255756, 0.0, 0.0, 0.0016190211486875226
43, -0.002931237787718681, 0.007623634092241573, -0.004039048788718421, 0.0, 0.0, 0.0014818847128282048
44, -0.0030467979470990628, 0.007790831840126491, -0.004101418875792899, 0.0, 0.0, 0.0013350535530390856
45, -0.0031584338595259517, 0.007952660262377616, -0.004162539630946473, 0.0, 0.0, 0.001178732862102352
46, -0.0032656845656317194, 0.008108643110502594, -0.004222392436205035, 0.0, 0.0, 0.0010131556188936993
47, -0.0033680998243501977, 0.008258315299152726, -0.004280959059824294, 0.0, 0.0, 0.000838582009350134
48, -0.003465241394598823, 0.008401224192326796, -0.004338221661843348, 0.0, 0.0, 0.0006552987723060007
49, -0.0035566842844515197, 0.008536930856928807, -0.004394162799518909, 0.0, 0.0, 0.00046361847197229193
50, -0.00364201796436384, 0.008665011280239738, -0.004448765432638525, 0.0, 0.0, 0.00026387869903551735
51, -0.003720847541110234, 0.008785057547961899, -0.004502012928711201, 0.0, 0.0, 5.644120254827396e-05
52, -0.0037927948892009606, 0.008896678979602198, -0.004553889068033813, 0.0, 0.0, -0.00015830904502650548
53, -0.0038574997366625243, 0.008999503218076963, -0.004604378048631789, 0.0, 0.0, -0.00037996484707218664
54, -0.003914620702190626, 0.009093177270546123, -0.00465346449107254, 0.0, 0.0, -0.0006080978436541097
55, -0.003963836280817632, 0.00917736849761766, -0.0047011334431501855, 0.0, 0.0, -0.0008422596310434494
56, -0.004004845775377796, 0.0092517655482045, -0.004747370384440147, 0.0, 0.0, -0.0010819829368773606
57, -0.004037370171201776, 0.009316079237464298, -0.004792161230722198, 0.0, 0.0, -0.0013267828477507829
58, -0.004061152951627629, 0.009370043365408382, -0.004835492338270663, 0.0, 0.0, -0.001576158085891364
59, -0.004075960852077523, 0.009413415473928096, -0.004877350508010424, 0.0, 0.0, -0.00182959233143418
60, -0.0040815845506178205, 0.009445977540155309, -0.0049177229895374895, 0.0, 0.0, -0.00208655558668776
61, -0.004077839293094102, 0.009467536604247853, -0.0049565974850028895, 0.0, 0.0, -0.002346505578667564
