phi, e_xx, e_yy, e_zz, e_yz, e_xz, e_xy
0,-1.31095623007467E-6,1.15687367425555E-5,-4.70282753322535E-6,2.84432539848742E-7,3.15451129451545E-7,7.77784117168305E-8
10.0000000002858,1.10212707257628E-6,1.77094396990724E-5,-8.86928092791684E-6,-1.11802628549311E-6,2.75722746499304E-7,5.51334692093707E-6
20.0000000005716,-4.76819610209451E-6,3.41483206845648E-5,-1.31541492745727E-5,-2.41051640465913E-6,2.12817753508238E-7,1.02449772094699E-5
30.0000000008575,-1.67148181039482E-5,5.79966181497278E-5,-1.75179188347547E-5,-3.1316757878639E-6,8.15109583719055E-8,1.09968567861386E-5
40.0000000011433,-3.07417806626624E-5,8.38790181897971E-5,-2.17430330721871E-5,-3.03136849631418E-6,-1.28300004110621E-7,5.77502511111267E-6
50.0000000014291,-4.23174176146095E-5,1.05695461540971E-4,-2.55832353126822E-5,-2.10037418123111E-6,-3.75073548937124E-7,-5.64330997386531E-6
60.0000000017149,-4.73464839021419E-5,1.17681838562507E-4,-2.8683456575487E-5,-4.75510437236856E-7,-5.63595622004744E-7,-2.19544878482144E-5
70.0000000020007,-4.29686849479696E-5,1.15290320358994E-4,-3.05057354166774E-5,1.42332063444154E-6,-5.86902004881351E-7,-4.05615405470613E-5
80.0000000022866,-2.86143099004007E-5,9.69783456678024E-5,-3.05618427668078E-5,2.98896312651118E-6,-4.1961617312172E-7,-5.774547535991E-5
90.0000000025724,-6.56722102312694E-6,6.54669727041693E-5,-2.86768820400376E-5,3.89624188749457E-6,-1.26870766549989E-7,-6.93366570635529E-5
100.000000002858,1.84448835979734E-5,2.73514297464603E-5,-2.51096539533057E-5,4.1523527426669E-6,2.20778247728441E-7,-7.2202619729832E-5
110.000000003144,4.10071939660172E-5,-8.5913152055447E-6,-2.09505186110495E-5,3.68378257729715E-6,5.01862956934351E-7,-6.6018352784871E-5
120.00000000343,5.67209899154384E-5,-3.45938494868498E-5,-1.75234746622444E-5,2.36048099637293E-6,4.67554074635754E-7,-5.31881130326956E-5
130.000000003716,6.24949942932915E-5,-4.69419350309916E-5,-1.48417008884204E-5,5.2769310221337E-7,1.07023818697718E-7,-3.70666256212345E-5
140.000000004001,5.76046769282704E-5,-4.66692981175127E-5,-1.19208513427734E-5,-1.05121073678827E-6,-2.67569409534976E-7,-2.09699853110644E-5
150.000000004287,4.44894267110514E-5,-3.78874454048385E-5,-8.18861904003346E-6,-1.88337267794493E-6,-4.403659839599E-7,-7.81100122506096E-6
160.000000004573,2.75719295770754E-5,-2.56929665476131E-5,-3.88485693382714E-6,-1.95788241027769E-6,-4.38232205674183E-7,3.54635339954019E-7
170.000000004859,1.17476723019388E-5,-1.53072039794292E-5,4.87563471050412E-7,-1.38760704924538E-6,-3.7189755417387E-7,2.68013015963655E-6
180.000000005145,1.31095623007033E-6,-1.15687367425279E-5,4.70282753322252E-6,-2.84432539904703E-7,-3.1545112943755E-7,-7.77784116900562E-8
